"357691","1827342210"
"238378","1713715918"
"238375","14197622"
"238374","14197623"
"244672","14197618"
"348629","1798464662"
"207167","1960131902"
"207202","1960131903"
"238377","14197620"
"349490","34940138"
"349492","34940140"
"207305","1870501085"
"253144","1817277311"
"207295","1960131904"
"207301","1960131905"
"190472","1811679323"
"184235","1960131901"
"169008","1844568194"
"351056","1825039737"
"351069","39962626"
"351073","39962609"
"351077","39962636"
"351079","39962617"
"351080","39962634"
"351081","39962615"
"351083","39962611"
"351086","39962629"
"351092","39962624"
"351105","1974989415"
"351107","1974989390"
"346557","40838682"
"347166","38018092"
"347233","36145707"
"348638","13229627"
"350715","31305077"
"350717","31169716"
"350823","33223948"
"350831","1721100532"
"351176","1803351116"
"351291","33208155"
"185672","7916525"
"236188","14205504"
"245424","11554090"
"286160","13974411"
"246692","1964082253"
"248240","1715435589"
"239510","12331941"
"269873","13520093"
"244768","12359954"
"301989","38304997"
"306866","14215682"
"307201","1973815105"
"315694","1729231711"
"317114","1731602139"
"318909","9340696"
"327319","6490866"
"330278","10681594"
"333238","6457375"
"334262","1719882748"
"335841","1968820907"
"336983","1917769564"
"337127","40381486"
"344915","1731352832"
"347157","1956312415"
"348698","6234065"
"350588","41233250"
"231291","14112070"
"339794","1723017902"
"192426","10799079"
"137533","1729331989"
"306143","11752977"
"322413","1732136444"
"322414","1732136444"
"322415","1732136444"
"333035","11752977"
"333036","11752977"
"333037","11752977"
"336213","1964786578"
"350361","14180117"
"350363","8236355"
"351266","40656587"
"351417","39610173"
"153626","11851950"
"154474","1729323819"
"167251","11547394"
"189417","11169286"
"222189","1716740850"
"222192","1716740850"
"222589","1729266649"
"159210","11546712"
"138204","1976571448"
"196059","13625584"
"137070","1729320125"
"141181","1729331990"
"270064","6944474"
"270157","11010185"
"270170","8496143"
"138200","1729319102"
"270762","12826409"
"172532","1729511503"
"174357","1930561923"
"174611","11547393"
"241259","9343234"
"196285","1729266659"
"196293","1729511763"
"203046","1729266244"
"222593","1729266656"
"237488","1729266257"
"247392","11033276"
